case_id,position_id,ts_recv_utc,seconds_before_decision,raw_i5,aligned_i5,spread_ticks
F009_PID000000484,484,2019-12-10T01:29:16.198397696+00:00,43.801602304,0.0141287284144427,0.0141287284144427,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:16.206035712+00:00,43.793964288,0.01732283464566929,0.01732283464566929,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:16.206046464+00:00,43.793953536,0.020537124802527645,0.020537124802527645,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:17.197044480+00:00,42.80295552,0.020537124802527645,0.020537124802527645,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:17.809494016+00:00,42.190505984,0.017432646592709985,0.017432646592709985,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:17.810779392+00:00,42.189220608,0.014308426073131956,0.014308426073131956,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:17.818827264+00:00,42.181172736,0.011164274322169059,0.011164274322169059,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:17.822717440+00:00,42.17728256,0.00794912559618442,0.00794912559618442,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:18.335032576+00:00,41.664967424,0.004784688995215311,0.004784688995215311,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:18.348498176+00:00,41.651501824,-0.001584786053882726,-0.001584786053882726,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:18.364655104+00:00,41.635344896,-0.0031746031746031746,-0.0031746031746031746,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:18.365787136+00:00,41.634212864,-0.0031746031746031746,-0.0031746031746031746,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:18.365797632+00:00,41.634202368,0.10891089108910891,0.10891089108910891,2.0000000000042206
F009_PID000000484,484,2019-12-10T01:29:18.365949184+00:00,41.634050816,-0.001589825119236884,-0.001589825119236884,1.0000000000021103
F009_PID000000484,484,2019-12-10T01:29:18.365961728+00:00,41.634038272,0.001584786053882726,0.001584786053882726,1.0000000000021103
