family,symbol,direction,entry_time,exit_time,gross_pips,net_a_pips,net_b_pips,exit_reason,leg_gross_json
candidate,BASKET,-1,2019-05-22T00:00:00+00:00,2019-05-23T00:00:00+00:00,33.766666666666275,32.266666666666275,30.76666666666628,flat_signal,"{""EURUSD"": 31.29999999999855, ""GBPUSD"": -4.699999999999704, ""USDJPY"": 74.69999999999999}"
candidate,BASKET,1,2019-05-29T00:00:00+00:00,2019-05-31T00:00:00+00:00,-41.361602482192815,-42.861602482192815,-44.361602482192815,stop,"{""EURUSD"": -37.400000000000766, ""GBPUSD"": -4.599999999999049, ""USDJPY"": -82.08480744657862}"
candidate,BASKET,1,2019-06-03T00:00:00+00:00,2019-06-05T00:00:00+00:00,13.00000000000002,11.50000000000002,10.00000000000002,rebalance,"{""EURUSD"": 20.600000000001728, ""GBPUSD"": -20.600000000001728, ""USDJPY"": 39.00000000000006}"
candidate,BASKET,-1,2019-06-05T00:00:00+00:00,2019-06-07T00:00:00+00:00,64.16666666666752,62.66666666666752,61.16666666666752,friday_flat,"{""EURUSD"": 112.20000000000229, ""GBPUSD"": 54.799999999999294, ""USDJPY"": 25.500000000000966}"
candidate,BASKET,-1,2019-06-10T00:00:00+00:00,2019-06-12T00:00:00+00:00,-8.699999999999767,-10.199999999999767,-11.699999999999767,flat_signal,"{""EURUSD"": -24.399999999999977, ""GBPUSD"": 4.3999999999999595, ""USDJPY"": -6.099999999999284}"
candidate,BASKET,-1,2019-06-19T00:00:00+00:00,2019-06-20T00:00:00+00:00,70.19999999999966,68.69999999999966,67.19999999999966,flat_signal,"{""EURUSD"": 65.69999999999965, ""GBPUSD"": 63.99999999999961, ""USDJPY"": 80.89999999999975}"
candidate,BASKET,1,2019-06-26T00:00:00+00:00,2019-06-27T00:00:00+00:00,6.366666666667046,4.866666666667046,3.366666666667046,flat_signal,"{""EURUSD"": -0.5999999999994898, ""GBPUSD"": 19.000000000000128, ""USDJPY"": 0.7000000000005002}"
candidate,BASKET,-1,2019-07-02T00:00:00+00:00,2019-07-03T00:00:00+00:00,-7.2333333333333805,-8.73333333333338,-10.23333333333338,flat_signal,"{""EURUSD"": -8.300000000001084, ""GBPUSD"": -20.499999999998852, ""USDJPY"": 7.099999999999795}"
candidate,BASKET,1,2019-07-18T00:00:00+00:00,2019-07-19T00:00:00+00:00,47.266666666666765,45.766666666666765,44.266666666666765,friday_flat,"{""EURUSD"": 57.10000000000104, ""GBPUSD"": 43.999999999999595, ""USDJPY"": 40.69999999999965}"
candidate,BASKET,-1,2019-07-24T00:00:00+00:00,2019-07-25T00:00:00+00:00,-23.099999999999397,-24.599999999999397,-26.099999999999397,flat_signal,"{""EURUSD"": 6.800000000000139, ""GBPUSD"": -31.09999999999946, ""USDJPY"": -44.99999999999886}"
