symbol,direction,entry_date,exit_date,gross_pips,net_a_pips,net_b_pips,family,d_spec_oi,exit_reason
GBPUSD,-1,2022-07-18,2022-07-22,-194.71071428571517,-196.21071428571517,-197.71071428571517,control,-0.01982366509301774,stop
USDJPY,1,2022-07-18,2022-07-22,-180.4392857142858,-181.9392857142858,-183.4392857142858,control,0.03355566590169948,stop
EURUSD,1,2022-07-25,2022-07-29,14.199999999999768,12.699999999999768,11.199999999999768,control,-0.03381267003497863,friday_flat
EURUSD,-1,2022-08-01,2022-08-05,29.90000000000048,28.40000000000048,26.90000000000048,control,-0.01860415098397677,friday_flat
EURUSD,1,2022-08-08,2022-08-12,84.90000000000109,83.40000000000109,81.90000000000109,control,0.04813260372947989,friday_flat
USDJPY,-1,2022-08-08,2022-08-12,148.69999999999948,147.19999999999948,145.69999999999948,control,0.10336364826790911,friday_flat
EURUSD,1,2022-08-15,2022-08-18,-156.3857142857139,-157.8857142857139,-159.3857142857139,control,-0.02984995493346058,stop
GBPUSD,1,2022-08-15,2022-08-19,-195.16071428571368,-196.66071428571368,-198.16071428571368,control,0.06255204135701595,stop
USDJPY,1,2022-08-15,2022-08-19,355.1000000000016,353.6000000000016,352.1000000000016,control,0.04304489138039445,friday_flat
GBPUSD,-1,2022-08-22,2022-08-26,72.40000000000136,70.90000000000136,69.40000000000136,control,0.030783483789384947,friday_flat
GBPUSD,-1,2022-08-29,2022-09-02,216.80000000000143,215.30000000000143,213.80000000000143,control,-0.03653929122968303,friday_flat
USDJPY,1,2022-08-29,2022-09-02,261.6000000000014,260.1000000000014,258.6000000000014,control,-0.11193894239505724,friday_flat
EURUSD,-1,2022-09-05,2022-09-09,-149.36785714285693,-150.86785714285693,-152.36785714285693,control,-0.034314763821224316,stop
GBPUSD,-1,2022-09-05,2022-09-09,-106.60000000000113,-108.10000000000113,-109.60000000000113,control,-0.031114028793453534,friday_flat
EURUSD,1,2022-09-12,2022-09-16,-88.79999999999998,-90.29999999999998,-91.79999999999998,control,0.2883203170532696,friday_flat
GBPUSD,-1,2022-09-12,2022-09-16,212.49999999999991,210.99999999999991,209.49999999999991,control,-0.0734648693479321,friday_flat
USDJPY,1,2022-09-12,2022-09-16,85.89999999999804,84.39999999999804,82.89999999999804,control,-0.09515192024631487,friday_flat
