symbol,direction,entry_date,exit_date,gross_pips,net_a_pips,net_b_pips,family,d_spec_oi
GBPUSD,-1,2025-10-03,2025-10-10,124.59999999999916,123.09999999999916,121.59999999999916,candidate,0.03360479803556129
GBPUSD,1,2025-10-10,2025-10-17,71.99999999999874,70.49999999999874,68.99999999999874,candidate,0.05514845485760452
GBPUSD,-1,2025-10-17,2025-10-24,113.9000000000001,112.4000000000001,110.9000000000001,candidate,0.038476759851801955
GBPUSD,-1,2025-10-24,2025-10-31,161.5999999999995,160.0999999999995,158.5999999999995,candidate,0.036220897363416764
GBPUSD,-1,2025-10-31,2025-11-07,-14.899999999999913,-16.399999999999913,-17.899999999999913,candidate,0.04804165759840076
GBPUSD,-1,2025-11-07,2025-11-13,-28.799999999999937,-30.299999999999937,-31.799999999999937,candidate,0.18098162905982276
GBPUSD,-1,2025-11-13,2025-11-14,19.700000000000273,18.200000000000273,16.700000000000273,candidate,0.05885654336566255
GBPUSD,-1,2025-11-28,2025-12-03,-118.49999999999916,-119.99999999999916,-121.49999999999916,candidate,0.048163524005704325
GBPUSD,1,2025-12-05,2025-12-12,35.799999999999166,34.299999999999166,32.799999999999166,candidate,0.04362707160203891
GBPUSD,1,2025-12-12,2025-12-19,6.399999999999739,4.899999999999739,3.3999999999997392,candidate,0.03170229088010108
GBPUSD,1,2025-12-19,2025-12-26,122.60000000000159,121.10000000000159,119.60000000000159,candidate,0.11011910038258206
GBPUSD,1,2025-12-26,2026-01-02,-38.200000000001566,-39.700000000001566,-41.200000000001566,candidate,0.036006298831082306
GBPUSD,1,2026-01-02,2026-01-09,-57.300000000000125,-58.800000000000125,-60.300000000000125,candidate,0.04933087758860834
USDJPY,1,2022-01-14,2022-01-21,-50.60000000000002,-52.10000000000002,-53.60000000000002,candidate,0.057524411871541205
USDJPY,-1,2022-01-21,2022-01-27,-102.71785714285642,-104.21785714285642,-105.71785714285642,candidate,0.10515310672876821
USDJPY,-1,2022-01-28,2022-02-04,5.19999999999925,3.6999999999992497,2.1999999999992497,candidate,0.06875600262851944
USDJPY,-1,2022-02-11,2022-02-18,40.00000000000057,38.50000000000057,37.00000000000057,candidate,0.021697085678803733
USDJPY,1,2022-02-18,2022-02-25,49.39999999999998,47.89999999999998,46.39999999999998,candidate,0.08158455559734236
USDJPY,-1,2022-02-25,2022-03-04,67.1999999999997,65.6999999999997,64.1999999999997,candidate,0.05498818039954885
USDJPY,-1,2022-03-11,2022-03-15,-106.81071428571443,-108.31071428571443,-109.81071428571443,candidate,0.01810880617970798
USDJPY,1,2022-03-18,2022-03-25,293.5000000000002,292.0000000000002,290.5000000000002,candidate,0.0582827495312877
USDJPY,1,2022-03-25,2022-04-01,46.999999999999886,45.499999999999886,43.999999999999886,candidate,0.13178175899702282
USDJPY,1,2022-04-01,2022-04-08,172.20000000000084,170.70000000000084,169.20000000000084,candidate,0.057109362614623405
USDJPY,1,2022-04-08,2022-04-15,207.49999999999886,205.99999999999886,204.49999999999886,candidate,0.016935227502611293
USDJPY,1,2022-04-15,2022-04-22,218.10000000000116,216.60000000000116,215.10000000000116,candidate,0.03655619531953562
USDJPY,-1,2022-04-29,2022-05-06,-68.99999999999977,-70.49999999999977,-71.99999999999977,candidate,0.05789617428937583
USDJPY,1,2022-05-06,2022-05-12,-222.05357142857167,-223.55357142857167,-225.05357142857167,candidate,0.029386255803275342
USDJPY,-1,2022-05-20,2022-05-27,81.30000000000024,79.80000000000024,78.30000000000024,candidate,0.01927826677938568
USDJPY,-1,2022-05-27,2022-06-01,-183.1928571428577,-184.6928571428577,-186.1928571428577,candidate,0.03685470546582594
USDJPY,1,2022-06-10,2022-06-16,-186.0857142857128,-187.5857142857128,-189.0857142857128,candidate,0.03323385478136018
USDJPY,-1,2022-06-17,2022-06-24,-24.500000000000455,-26.000000000000455,-27.500000000000455,candidate,0.030664952067196244
USDJPY,-1,2022-06-24,2022-07-01,-6.700000000000728,-8.200000000000728,-9.700000000000728,candidate,0.09237146682807829
USDJPY,-1,2022-07-01,2022-07-08,-84.99999999999943,-86.49999999999943,-87.99999999999943,candidate,0.03263366188420102
USDJPY,-1,2022-07-15,2022-07-22,246.60000000000082,245.10000000000082,243.60000000000082,candidate,0.03355566590169948
USDJPY,-1,2022-08-05,2022-08-12,149.79999999999905,148.29999999999905,146.79999999999905,candidate,0.10336364826790911
USDJPY,-1,2022-08-12,2022-08-19,-275.0464285714287,-276.5464285714287,-278.0464285714287,candidate,0.04304489138039445
USDJPY,1,2022-08-26,2022-09-02,271.50000000000034,270.00000000000034,268.50000000000034,candidate,0.11193894239505724
USDJPY,1,2022-09-09,2022-09-16,32.59999999999934,31.09999999999934,29.59999999999934,candidate,0.09515192024631487
USDJPY,1,2022-09-16,2022-09-22,-240.79285714285845,-242.29285714285845,-243.79285714285845,candidate,0.04788155447329935
USDJPY,-1,2022-09-23,2022-09-30,-146.10000000000127,-147.60000000000127,-149.10000000000127,candidate,0.06647083207117006
USDJPY,-1,2022-10-07,2022-10-13,-208.55357142857258,-210.05357142857258,-211.55357142857258,candidate,0.042640645487465524
USDJPY,1,2022-10-21,2022-10-24,-199.39285714285688,-200.89285714285688,-202.39285714285688,candidate,0.06869241102681022
USDJPY,-1,2022-11-04,2022-11-11,788.8000000000005,787.3000000000005,785.8000000000005,candidate,0.04712521146670993
USDJPY,-1,2022-11-18,2022-11-25,120.79999999999984,119.29999999999984,117.79999999999984,candidate,0.0698876346712607
USDJPY,-1,2022-11-25,2022-12-02,485.59999999999945,484.09999999999945,482.59999999999945,candidate,0.025141249148108252
USDJPY,-1,2022-12-09,2022-12-16,-14.300000000000068,-15.800000000000068,-17.300000000000068,candidate,0.022258128043540534
USDJPY,-1,2022-12-16,2022-12-23,392.9000000000002,391.4000000000002,389.9000000000002,candidate,0.036164325619922104
USDJPY,-1,2022-12-23,2022-12-30,167.99999999999784,166.49999999999784,164.99999999999784,candidate,0.07878198578287572
USDJPY,-1,2022-12-30,2023-01-06,-297.49285714285634,-298.99285714285634,-300.49285714285634,candidate,0.04779479715368266
USDJPY,-1,2023-01-06,2023-01-13,428.20000000000107,426.70000000000107,425.20000000000107,candidate,0.06090735268555536
USDJPY,-1,2023-01-13,2023-01-18,-272.5821428571436,-274.0821428571436,-275.5821428571436,candidate,0.09865999032689408
USDJPY,-1,2023-01-20,2023-01-27,-24.799999999999045,-26.299999999999045,-27.799999999999045,candidate,0.07493412943424817
USDJPY,-1,2023-01-27,2023-02-03,-134.70000000000084,-136.20000000000084,-137.70000000000084,candidate,0.017216609643378473
USDJPY,-1,2023-02-03,2023-02-10,-19.200000000000728,-20.700000000000728,-22.200000000000728,candidate,0.016019935920256318
USDJPY,-1,2023-02-17,2023-02-24,-233.70000000000175,-235.20000000000175,-236.70000000000175,candidate,0.03474607756280186
USDJPY,1,2023-02-24,2023-03-03,-65.70000000000107,-67.20000000000107,-68.70000000000107,candidate,0.07269210102095648
USDJPY,1,2023-03-03,2023-03-10,-76.59999999999911,-78.09999999999911,-79.59999999999911,candidate,0.14012707013851744
USDJPY,1,2023-03-10,2023-03-13,-198.21428571428612,-199.71428571428612,-201.21428571428612,candidate,0.025319810503698584
USDJPY,-1,2023-03-31,2023-04-07,64.30000000000007,62.80000000000007,61.30000000000007,candidate,0.0534480418709765
USDJPY,-1,2023-04-07,2023-04-14,-156.90000000000168,-158.40000000000168,-159.90000000000168,candidate,0.024615831972621738
USDJPY,1,2023-05-05,2023-05-12,89.10000000000196,87.60000000000196,86.10000000000196,candidate,0.029222250684742556
USDJPY,-1,2023-05-12,2023-05-18,-200.00357142857013,-201.50357142857013,-203.00357142857013,candidate,0.06480106348728282
USDJPY,1,2023-05-19,2023-05-26,262.80000000000143,261.30000000000143,259.80000000000143,candidate,0.025868388898586142
USDJPY,1,2023-05-26,2023-06-01,-172.33928571428692,-173.83928571428692,-175.33928571428692,candidate,0.15500883392226147
USDJPY,1,2023-06-02,2023-06-09,-59.10000000000082,-60.60000000000082,-62.10000000000082,candidate,0.0664043710455235
USDJPY,1,2023-06-09,2023-06-16,250.90000000000146,249.40000000000146,247.90000000000146,candidate,0.04475160191087995
USDJPY,-1,2023-06-16,2023-06-23,-191.16428571428514,-192.66428571428514,-194.16428571428514,candidate,0.023154343815082
USDJPY,1,2023-06-23,2023-06-30,60.09999999999991,58.59999999999991,57.09999999999991,candidate,0.023499723335401332
USDJPY,1,2023-06-30,2023-07-06,-24.199999999999022,-25.699999999999022,-27.199999999999022,candidate,0.02103576597064296
USDJPY,1,2023-07-06,2023-07-07,-137.88214285714275,-139.38214285714275,-140.88214285714275,candidate,0.022288788452687256
USDJPY,-1,2023-07-14,2023-07-21,-181.41428571428548,-182.91428571428548,-184.41428571428548,candidate,0.02104228667440727
USDJPY,-1,2023-07-21,2023-07-28,62.000000000000455,60.500000000000455,59.000000000000455,candidate,0.13696239585678902
USDJPY,1,2023-08-11,2023-08-18,43.09999999999832,41.59999999999832,40.09999999999832,candidate,0.02403752028505671
USDJPY,1,2023-08-18,2023-08-25,102.20000000000198,100.70000000000198,99.20000000000198,candidate,0.05097316437726353
USDJPY,1,2023-08-25,2023-09-01,-154.43571428571374,-155.93571428571374,-157.43571428571374,candidate,0.019200317507887074
USDJPY,-1,2023-09-01,2023-09-07,-165.34285714285772,-166.84285714285772,-168.34285714285772,candidate,0.02098984730212017
USDJPY,1,2023-09-08,2023-09-11,-164.53928571428662,-166.03928571428662,-167.53928571428662,candidate,0.03688176370628745
USDJPY,1,2023-09-29,2023-10-03,-106.81071428571443,-108.31071428571443,-109.81071428571443,candidate,0.022131382573240925
USDJPY,-1,2023-10-06,2023-10-13,-30.799999999999272,-32.29999999999927,-33.79999999999927,candidate,0.02468498171089776
USDJPY,-1,2023-10-13,2023-10-20,-28.20000000000107,-29.70000000000107,-31.20000000000107,candidate,0.053743791764927655
USDJPY,1,2023-10-20,2023-10-27,-24.099999999998545,-25.599999999998545,-27.099999999998545,candidate,0.051666971938651544
USDJPY,-1,2023-11-10,2023-11-17,194.49999999999932,192.99999999999932,191.49999999999932,candidate,0.031567436021840756
USDJPY,1,2023-11-17,2023-11-21,-169.93928571428683,-171.43928571428683,-172.93928571428683,candidate,0.1275007944828191
USDJPY,-1,2023-11-24,2023-12-01,261.9999999999976,260.4999999999976,258.9999999999976,candidate,0.08065216324465936
USDJPY,1,2023-12-01,2023-12-07,-207.04285714285788,-208.54285714285788,-210.04285714285788,candidate,0.01751661355696926
USDJPY,-1,2023-12-08,2023-12-15,280.1000000000016,278.6000000000016,277.1000000000016,candidate,0.02028921572292715
USDJPY,-1,2023-12-15,2023-12-22,-29.000000000002046,-30.500000000002046,-32.000000000002046,candidate,0.07171336395153369
USDJPY,-1,2023-12-22,2023-12-29,139.7999999999996,138.2999999999996,136.7999999999996,candidate,0.10741099279337421
USDJPY,-1,2023-12-29,2024-01-03,-210.3428571428566,-211.8428571428566,-213.3428571428566,candidate,0.020128354725787632
USDJPY,-1,2024-01-05,2024-01-12,-34.80000000000132,-36.30000000000132,-37.80000000000132,candidate,0.03013985937992415
USDJPY,1,2024-01-12,2024-01-19,320.5999999999989,319.0999999999989,317.5999999999989,candidate,0.015461884482698366
USDJPY,1,2024-01-19,2024-01-26,3.8000000000010914,2.3000000000010914,0.8000000000010914,candidate,0.020172613438720354
USDJPY,1,2024-01-26,2024-01-31,-184.57500000000095,-186.07500000000095,-187.57500000000095,candidate,0.05567579577997959
USDJPY,1,2024-02-02,2024-02-09,90.99999999999966,89.49999999999966,87.99999999999966,candidate,0.07043784009354251
USDJPY,1,2024-02-09,2024-02-16,92.4999999999983,90.9999999999983,89.4999999999983,candidate,0.0293362923919828
USDJPY,1,2024-02-16,2024-02-23,32.800000000000296,31.300000000000296,29.800000000000296,candidate,0.10186741608446709
USDJPY,1,2024-02-23,2024-02-29,-118.69285714285809,-120.19285714285809,-121.69285714285809,candidate,0.03854792134573956
USDJPY,1,2024-03-01,2024-03-07,-115.69285714285797,-117.19285714285797,-118.69285714285797,candidate,0.03132418056214938
USDJPY,-1,2024-03-08,2024-03-15,-133.42499999999973,-134.92499999999973,-136.42499999999973,candidate,0.035294005454788197
USDJPY,-1,2024-03-15,2024-03-19,-155.35714285714164,-156.85714285714164,-158.35714285714164,candidate,0.04332847163583327
USDJPY,1,2024-03-22,2024-03-29,-9.399999999999409,-10.899999999999409,-12.399999999999409,candidate,0.08525619834710743
USDJPY,1,2024-04-05,2024-04-12,164.50000000000102,163.00000000000102,161.50000000000102,candidate,0.03221499389221897
