symbol,direction,entry_date,exit_date,gross_pips,net_a_pips,net_b_pips,family
USDJPY,-1,2025-01-29,2025-04-09,753.3999999999992,751.8999999999992,750.3999999999992,control
GBPUSD,-1,2025-04-09,2025-04-17,-450.600000000001,-452.100000000001,-453.600000000001,control
EURUSD,1,2025-03-13,2025-05-09,395.4999999999997,393.9999999999997,392.4999999999997,control
USDJPY,-1,2025-04-17,2025-05-09,-299.8999999999995,-301.3999999999995,-302.8999999999995,control
EURUSD,-1,2025-05-09,2025-05-26,-134.4999999999996,-135.9999999999996,-137.4999999999996,control
GBPUSD,1,2025-05-09,2025-06-12,312.3000000000009,310.8000000000009,309.3000000000009,control
USDJPY,-1,2025-05-26,2025-07-04,-160.8000000000004,-162.3000000000004,-163.8000000000004,control
EURUSD,1,2025-06-12,2025-08-01,7.399999999999629,5.899999999999629,4.399999999999629,control
GBPUSD,-1,2025-07-04,2025-09-03,192.7999999999974,191.2999999999974,189.7999999999974,control
USDJPY,1,2025-08-01,2025-09-03,75.29999999999859,73.79999999999859,72.29999999999859,control
EURUSD,1,2025-09-08,2025-09-15,-1.7000000000000348,-3.200000000000035,-4.700000000000035,control
USDJPY,-1,2025-09-08,2025-09-15,11.899999999999977,10.399999999999977,8.899999999999977,control
USDJPY,1,2025-09-15,2025-09-16,-95.19999999999982,-96.69999999999982,-98.19999999999982,control
GBPUSD,-1,2025-09-15,2025-09-16,-45.999999999999375,-47.499999999999375,-48.999999999999375,control
EURUSD,1,2025-09-16,2025-09-22,-64.90000000000107,-66.40000000000107,-67.90000000000107,control
USDJPY,-1,2025-09-16,2025-09-22,-127.89999999999964,-129.39999999999964,-130.89999999999964,control
USDJPY,1,2025-09-22,2025-09-23,-7.900000000000773,-9.400000000000773,-10.900000000000773,control
GBPUSD,-1,2025-09-22,2025-09-23,-12.099999999999334,-13.599999999999334,-15.099999999999334,control
EURUSD,1,2025-09-23,2025-09-29,-88.0000000000014,-89.5000000000014,-91.0000000000014,control
USDJPY,-1,2025-09-23,2025-09-29,-93.80000000000166,-95.30000000000166,-96.80000000000166,control
USDJPY,1,2025-09-29,2025-10-01,-151.50000000000148,-153.00000000000148,-154.50000000000148,control
GBPUSD,-1,2025-09-29,2025-10-01,-45.600000000001195,-47.100000000001195,-48.600000000001195,control
USDJPY,-1,2025-10-01,2025-10-06,-328.49999999999966,-329.99999999999966,-331.49999999999966,control
EURUSD,1,2025-10-01,2025-10-07,-73.40000000000124,-74.90000000000124,-76.40000000000124,control
GBPUSD,-1,2025-10-06,2025-10-20,80.70000000000022,79.20000000000022,77.70000000000022,control
EURUSD,-1,2025-10-20,2025-10-27,-4.300000000001525,-5.800000000001525,-7.300000000001525,control
GBPUSD,-1,2025-10-27,2025-11-28,111.79999999999967,110.29999999999967,108.79999999999967,control
EURUSD,-1,2025-11-28,2025-12-02,-26.000000000001577,-27.500000000001577,-29.000000000001577,control
USDJPY,1,2025-10-07,2025-12-03,333.29999999999984,331.79999999999984,330.29999999999984,control
GBPUSD,-1,2025-12-02,2025-12-03,-140.10000000000076,-141.60000000000076,-143.10000000000076,control
GBPUSD,1,2025-12-04,2025-12-09,-29.69999999999917,-31.19999999999917,-32.69999999999917,control
USDJPY,-1,2025-12-04,2025-12-09,-177.60000000000105,-179.10000000000105,-180.60000000000105,control
USDJPY,1,2025-12-09,2025-12-12,-107.30000000000075,-108.80000000000075,-110.30000000000075,control
EURUSD,-1,2025-12-09,2025-12-12,-114.4999999999996,-115.9999999999996,-117.4999999999996,control
USDJPY,-1,2025-12-12,2026-01-06,-85.20000000000039,-86.70000000000039,-88.20000000000039,control
GBPUSD,1,2025-12-12,2026-02-18,125.50000000000061,124.00000000000061,122.50000000000061,control
EURUSD,-1,2026-01-06,2026-02-18,-94.19999999999983,-95.69999999999983,-97.19999999999983,control
EURUSD,1,2026-02-18,2026-03-03,-169.39999999999955,-170.89999999999955,-172.39999999999955,control
USDJPY,-1,2026-02-18,2026-03-03,-285.89999999999804,-287.39999999999804,-288.89999999999804,control
GBPUSD,-1,2026-03-03,2026-03-17,-0.7999999999985796,-2.2999999999985796,-3.7999999999985796,control
EURUSD,-1,2026-03-17,2026-04-01,-53.300000000000566,-54.800000000000566,-56.300000000000566,control
USDJPY,1,2026-03-03,2026-04-13,176.20000000000005,174.70000000000005,173.20000000000005,control
GBPUSD,-1,2026-04-01,2026-04-13,-200.19999999999925,-201.69999999999925,-203.19999999999925,control
USDJPY,-1,2026-04-13,2026-04-17,80.4000000000002,78.9000000000002,77.4000000000002,control
EURUSD,1,2026-04-13,2026-05-18,-103.1000000000004,-104.6000000000004,-106.1000000000004,control
GBPUSD,-1,2026-04-17,2026-05-19,121.79999999999858,120.29999999999858,118.79999999999858,control
EURUSD,-1,2026-05-19,2026-06-19,141.09999999999843,139.59999999999843,138.09999999999843,control
USDJPY,1,2026-05-18,2026-06-30,370.4000000000008,368.9000000000008,367.4000000000008,control
GBPUSD,-1,2026-06-19,2026-06-30,-24.699999999999722,-26.199999999999722,-27.699999999999722,control
