hypothesis_id,direction,sweep_index,reclaim_index,retest_index,entry_index,sweep_time_utc,reclaim_time_utc,retest_time_utc,entry_time_utc,pivot_price,pivot_index,entry_price,initial_stop,initial_risk_pips,sweep_atr_pips,sweep_tick_volume,prior20_tick_volume_mean,tick_volume_ratio,reclaim_adx,retest_outside_session,entry_outside_session,calendar_year,cost_r_0_5,cost_r_1_5,cost_r_2_25,cost_r_3_0
HYP-ASRS-EURUSD-M5-001,SHORT,217214,217215,217216,217217,2021-12-02 12:40:00,2021-12-02 12:45:00,2021-12-02 12:50:00,2021-12-02 12:55:00,1.13441,217202,1.13413,1.1348987142857143,7.687142857142337,3.9571428571427703,514.0,319.15,1.6105279649067838,24.7651012350497,False,False,2021,0.06504367217989661,0.19513101653968984,0.29269652480953473,0.3902620330793797
HYP-ASRS-EURUSD-M5-001,SHORT,217215,217215,217216,217217,2021-12-02 12:45:00,2021-12-02 12:45:00,2021-12-02 12:50:00,2021-12-02 12:55:00,1.13441,217202,1.13413,1.134901285714286,7.712857142858631,4.042857142857142,523.0,328.15,1.5937833307938445,24.7651012350497,False,False,2021,0.0648268197814285,0.19448045934428548,0.2917206890164282,0.38896091868857097
HYP-ASRS-EURUSD-M5-001,LONG,218011,218011,218012,218013,2021-12-07 07:15:00,2021-12-07 07:15:00,2021-12-07 07:20:00,2021-12-07 07:25:00,1.129,218008,1.12909,1.1288115714285714,2.7842857142856836,2.6142857142857117,275.0,153.95,1.7862942513803184,18.413122579144577,False,False,2021,0.17957927142124364,0.5387378142637309,0.8081067213955964,1.0774756285274618
HYP-ASRS-EURUSD-M5-001,LONG,222339,222339,222340,222341,2021-12-28 12:00:00,2021-12-28 12:00:00,2021-12-28 12:05:00,2021-12-28 12:10:00,1.1329799999999999,222334,1.13315,1.1328064285714285,3.435714285715541,2.7857142857141373,198.0,130.95,1.5120274914089349,15.154685287301547,False,False,2021,0.14553014553009236,0.4365904365902771,0.6548856548854156,0.8731808731805542
HYP-ASRS-EURUSD-M5-001,SHORT,222435,222436,222437,222438,2021-12-28 20:00:00,2021-12-28 20:05:00,2021-12-28 20:10:00,2021-12-28 20:15:00,1.13037,222422,1.13034,1.1305410714285713,2.010714285713977,2.0357142857150925,199.0,97.7,2.036847492323439,20.810703256621686,False,False,2021,0.24866785079932768,0.7460035523979831,1.1190053285969745,1.4920071047959662
HYP-ASRS-EURUSD-M5-001,LONG,222579,222579,222580,222581,2021-12-29 08:00:00,2021-12-29 08:00:00,2021-12-29 08:05:00,2021-12-29 08:10:00,1.1298300000000001,222574,1.12987,1.1294207142857142,4.492857142857076,2.64285714285701,381.0,96.2,3.96049896049896,19.467843626318185,False,False,2021,0.11128775834658353,0.33386327503975055,0.5007949125596258,0.6677265500795011
HYP-ASRS-EURUSD-M5-001,SHORT,224005,224005,224006,224007,2022-01-05 07:55:00,2022-01-05 07:55:00,2022-01-05 08:00:00,2022-01-05 08:05:00,1.13012,224001,1.12973,1.1303147142857144,5.847142857144938,3.1571428571427633,231.0,139.0,1.6618705035971224,24.232427197005162,False,False,2022,0.08551184949911445,0.25653554849734334,0.38480332274601503,0.5130710969946867
HYP-ASRS-EURUSD-M5-001,LONG,224649,224649,224650,224651,2022-01-07 13:35:00,2022-01-07 13:35:00,2022-01-07 13:40:00,2022-01-07 13:45:00,1.12949,224644,1.12987,1.1290273571428573,8.426428571426392,6.421428571428768,1264.0,269.55,4.689296976442218,22.65505694387231,False,False,2022,0.059337119606695014,0.17801135882008504,0.26701703823012757,0.35602271764017007
HYP-ASRS-EURUSD-M5-001,LONG,225237,225238,225239,225240,2022-01-11 14:45:00,2022-01-11 14:50:00,2022-01-11 14:55:00,2022-01-11 15:00:00,1.13207,225230,1.13235,1.1311580714285714,11.919285714285799,5.064285714285425,545.0,308.45,1.7668990111849572,24.887822931503017,False,False,2022,0.041948822436627016,0.12584646730988105,0.18876970096482157,0.2516929346197621
HYP-ASRS-EURUSD-M5-001,SHORT,226088,226088,226089,226090,2022-01-14 13:40:00,2022-01-14 13:40:00,2022-01-14 13:45:00,2022-01-14 13:50:00,1.14503,226081,1.14379,1.1456925,19.02499999999918,5.75000000000008,659.0,359.2,1.8346325167037862,19.264793683524328,False,False,2022,0.026281208935612168,0.0788436268068365,0.11826544021025476,0.157687253613673
HYP-ASRS-EURUSD-M5-001,SHORT,226402,226403,226404,226405,2022-01-17 16:00:00,2022-01-17 16:05:00,2022-01-17 16:10:00,2022-01-17 16:15:00,1.14053,226396,1.14039,1.1408699285714285,4.79928571428534,4.664285714285343,375.0,245.55,1.5271838729383016,14.69942012415024,False,False,2022,0.10418216996577685,0.31254650989733057,0.4688197648459958,0.6250930197946611
HYP-ASRS-EURUSD-M5-001,LONG,228360,228360,228361,228362,2022-01-26 11:50:00,2022-01-26 11:50:00,2022-01-26 11:55:00,2022-01-26 12:00:00,1.1277300000000001,228357,1.12789,1.1274467857142858,4.432142857142551,3.10714285714307,391.0,204.5,1.9119804400977995,21.29833822713043,False,False,2022,0.11281224818695379,0.33843674456086137,0.507655116841292,0.6768734891217227
HYP-ASRS-EURUSD-M5-001,LONG,232052,232053,232054,232055,2022-02-14 08:05:00,2022-02-14 08:10:00,2022-02-14 08:15:00,2022-02-14 08:20:00,1.1335899999999999,232048,1.13406,1.1327069285714286,13.530714285714396,6.4357142857141,723.0,294.1,2.4583475008500506,20.056743237787863,False,False,2022,0.03695296415562447,0.1108588924668734,0.1662883387003101,0.2217177849337468
HYP-ASRS-EURUSD-M5-001,LONG,232053,232053,232054,232055,2022-02-14 08:10:00,2022-02-14 08:10:00,2022-02-14 08:15:00,2022-02-14 08:20:00,1.1335899999999999,232048,1.13406,1.1327994285714287,12.605714285713887,6.685714285714152,514.0,325.5,1.5791090629800306,20.056743237787863,False,False,2022,0.03966455122393598,0.11899365367180793,0.1784904805077119,0.23798730734361587
HYP-ASRS-EURUSD-M5-001,SHORT,232331,232332,232333,232334,2022-02-15 07:20:00,2022-02-15 07:25:00,2022-02-15 07:30:00,2022-02-15 07:35:00,1.13239,232326,1.13223,1.1329192142857143,6.892142857142236,3.307142857142477,383.0,186.75,2.0508701472556896,20.557185880333755,False,False,2022,0.07254637786299752,0.21763913358899256,0.32645870038348884,0.4352782671779851
HYP-ASRS-EURUSD-M5-001,SHORT,232989,232989,232990,232991,2022-02-17 14:10:00,2022-02-17 14:10:00,2022-02-17 14:15:00,2022-02-17 14:20:00,1.13701,232983,1.13638,1.1378475,14.67499999999955,8.249999999999805,889.0,528.65,1.6816419180932565,24.782846896645992,False,False,2022,0.03407155025553767,0.10221465076661301,0.15332197614991952,0.20442930153322603
HYP-ASRS-EURUSD-M5-001,SHORT,237229,237229,237230,237231,2022-03-10 07:45:00,2022-03-10 07:45:00,2022-03-10 07:50:00,2022-03-10 07:55:00,1.10644,237223,1.10616,1.107175,10.149999999999881,5.500000000000028,538.0,284.15,1.8933661798345947,19.333839034513847,False,False,2022,0.04926108374384294,0.14778325123152883,0.22167487684729323,0.29556650246305766
HYP-ASRS-EURUSD-M5-001,LONG,239567,239568,239569,239570,2022-03-22 11:40:00,2022-03-22 11:45:00,2022-03-22 11:50:00,2022-03-22 11:55:00,1.09987,239560,1.10007,1.0992812142857142,7.8878571428586675,5.2928571428574,709.0,425.05,1.6680390542289143,23.2880920735023,False,False,2022,0.06338857194601691,0.19016571583805073,0.2852485737570761,0.38033143167610145
HYP-ASRS-EURUSD-M5-001,LONG,239568,239568,239569,239570,2022-03-22 11:45:00,2022-03-22 11:45:00,2022-03-22 11:50:00,2022-03-22 11:55:00,1.09987,239560,1.10007,1.0992807857142857,7.892142857144346,5.307142857143209,756.0,438.9,1.722488038277512,23.2880920735023,False,False,2022,0.06335414969679319,0.19006244909037956,0.2850936736355693,0.3801248981807591
HYP-ASRS-EURUSD-M5-001,SHORT,240454,240454,240455,240456,2022-03-25 13:35:00,2022-03-25 13:35:00,2022-03-25 13:40:00,2022-03-25 13:45:00,1.10148,240445,1.10106,1.1019896428571427,9.296428571428095,7.321428571428161,1142.0,424.1,2.692761141240273,16.337562316810963,False,False,2022,0.05378409527468581,0.16135228582405745,0.24202842873608618,0.3227045716481149
HYP-ASRS-EURUSD-M5-001,LONG,244785,244785,244786,244787,2022-04-15 14:50:00,2022-04-15 14:50:00,2022-04-15 14:55:00,2022-04-15 15:00:00,1.0807,244778,1.08083,1.0805757142857144,2.5428571428554037,2.1428571428570655,278.0,110.1,2.524977293369664,20.653371563596558,False,False,2022,0.19662921348328055,0.5898876404498417,0.8848314606747625,1.1797752808996833
