strategy,symbol,signal_ms,entry_ms,exit_ms,direction,signal_score,entry_price,exit_price,stop_price,target_price,initial_stop_pips,exit_reason,gross_pips,net_pips_a,net_pips_b,net_r_a,net_r_b
PRIMARY,EURUSD,1628750700000,1628751600000,1628753400000,1,3.953183974129193,1.17444,1.17453,1.1742575,1.1748049999999999,1.8249999999997437,time_stop,0.9000000000014552,0.10000000000145515,-0.29999999999854476,0.05479452054875024,-0.1643835616430613
PRIMARY,EURUSD,1628753400000,1628754300000,1628754300000,-1,-4.770751043947605,1.17429,1.1740599999999999,1.1744050000000001,1.1740599999999999,1.1500000000008723,target,2.300000000001745,1.500000000001745,1.1000000000017451,1.3043478260874846,0.9565217391312267
PRIMARY,EURUSD,1628757900000,1628758800000,1628758800000,-1,-4.702237350190169,1.17416,1.17433,1.17433,1.1738200000000003,1.6999999999989248,stop,-1.7000000000000348,-2.5000000000000346,-2.900000000000035,-1.470588235295068,-1.705882352942276
PRIMARY,GBPUSD,1628760600000,1628761500000,1628762400000,-1,-16.272742244566665,1.3860299999999999,1.3864025,1.3864025,1.3852849999999997,3.725000000001089,stop,-3.7250000000010886,-4.525000000001088,-4.925000000001089,-1.214765100671078,-1.3221476510066172
PRIMARY,EURUSD,1628766000000,1628766900000,1628766900000,-1,-8.888165006473093,1.17376,1.173975,1.173975,1.17333,2.149999999999652,stop,-2.1500000000007624,-2.9500000000007622,-3.3500000000007626,-1.3720930232563904,-1.5581395348843277
PRIMARY,GBPUSD,1628771400000,1628772300000,1628772300000,-1,-22.697590636064845,1.38578,1.3860375,1.3860375,1.385265,2.575000000000216,stop,-2.575000000000216,-3.375000000000216,-3.775000000000216,-1.3106796116504593,-1.466019417475689
PRIMARY,EURUSD,1628772300000,1628773200000,1628774100000,-1,-2.7912028975257317,1.17417,1.1739199999999999,1.1742949999999999,1.1739199999999999,1.2500000000004174,target,2.500000000000835,1.7000000000008348,1.300000000000835,1.3600000000002137,1.0400000000003207
PRIMARY,GBPUSD,1628773200000,1628774100000,1628774100000,-1,-3.0622189421362918,1.38623,1.3860000000000003,1.386345,1.3860000000000003,1.1499999999986519,target,2.299999999997304,1.4999999999973042,1.0999999999973042,1.3043478260861414,0.956521739129212
PRIMARY,EURUSD,1628774100000,1628775000000,1628775000000,-1,-2.8649293716609048,1.17363,1.1738125,1.1738125,1.173265,1.8249999999997437,stop,-1.8249999999997435,-2.6249999999997433,-3.0249999999997437,-1.438356164383623,-1.6575342465754348
PRIMARY,GBPUSD,1628774100000,1628775000000,1628775000000,-1,-7.32333700062248,1.38534,1.38578,1.38578,1.38446,4.399999999999959,stop,-4.3999999999999595,-5.199999999999959,-5.59999999999996,-1.1818181818181837,-1.2727272727272756
PRIMARY,EURUSD,1628775000000,1628775900000,1628775900000,1,4.407589424703856,1.17395,1.1737950000000001,1.1737950000000001,1.17426,1.5500000000001624,stop,-1.5499999999990521,-2.349999999999052,-2.7499999999990523,-1.516129032257294,-1.7741935483862996
PRIMARY,GBPUSD,1628778600000,1628779500000,1628779500000,-1,-3.0857392225998717,1.38482,1.38465,1.384905,1.38465,0.8500000000000175,target,1.7000000000000348,0.9000000000000348,0.5000000000000349,1.0588235294117838,0.5882352941176759
PRIMARY,GBPUSD,1628784000000,1628784900000,1628784900000,-1,-7.580869551201192,1.3835,1.384105,1.384105,1.38229,6.049999999999667,stop,-6.049999999999667,-6.849999999999667,-7.249999999999667,-1.132231404958685,-1.1983471074380274
PRIMARY,GBPUSD,1628789400000,1628790300000,1628790300000,-1,-3.7954217540803925,1.38238,1.3827224999999999,1.3827224999999999,1.3816950000000001,3.4249999999991236,stop,-3.424999999999123,-4.224999999999123,-4.624999999999123,-1.233576642335826,-1.3503649635037391
PRIMARY,GBPUSD,1628795700000,1628796600000,1628796600000,-1,-3.691434184608533,1.38278,1.3822200000000002,1.3830599999999997,1.3822200000000002,2.7999999999983594,target,5.599999999996719,4.799999999996719,4.3999999999967185,1.714285714285547,1.5714285714283203
PRIMARY,GBPUSD,1628796600000,1628797500000,1628799300000,-1,-6.479692748842116,1.38205,1.38152,1.3824049999999999,1.3813400000000002,3.5499999999988323,time_stop,5.299999999999194,4.499999999999194,4.099999999999194,1.2676056338030068,1.1549295774649415
PRIMARY,GBPUSD,1628802000000,1628802900000,1628803800000,-1,-6.770410465247183,1.3808799999999999,1.3803099999999997,1.381165,1.3803099999999997,2.8500000000009074,target,5.700000000001815,4.900000000001815,4.5000000000018145,1.7192982456141246,1.5789473684211865
PRIMARY,GBPUSD,1628820000000,1628820900000,1628820900000,1,6.71731160189116,1.3814,1.3813,1.3813,1.3816,0.99999999999989,stop,-0.9999999999998899,-1.79999999999989,-2.19999999999989,-1.800000000000088,-2.200000000000132
PRIMARY,EURUSD,1628821800000,1628822700000,1628822700000,-1,-3.494239859886245,1.17358,1.17366,1.17366,1.1734200000000004,0.7999999999985796,stop,-0.7999999999985796,-1.5999999999985797,-1.9999999999985796,-2.0000000000017755,-2.500000000002663
PRIMARY,GBPUSD,1628821800000,1628822700000,1628822700000,-1,-60.3403962513687,1.38103,1.381125,1.381125,1.38084,0.9499999999995624,stop,-0.9499999999995623,-1.7499999999995624,-2.1499999999995625,-1.8421052631582826,-2.263157894737424
PRIMARY,GBPUSD,1628824500000,1628825400000,1628825400000,1,5.534657259591439,1.3811200000000001,1.3810775000000002,1.3810775000000002,1.381205,0.42499999999945365,both_hit_adverse_first,-0.4249999999994536,-1.2249999999994536,-1.6249999999994535,-2.8823529411788904,-3.8235294117683356
PRIMARY,EURUSD,1628827200000,1628828100000,1628828100000,-1,-4.789911154138608,1.17347,1.17353,1.17353,1.17335,0.6000000000005999,stop,-0.5999999999994898,-1.3999999999994899,-1.7999999999994898,-2.33333333333015,-2.9999999999961497
PRIMARY,GBPUSD,1628827200000,1628828100000,1628828100000,-1,-10.964726438047123,1.38042,1.38071,1.38071,1.37984,2.9000000000001247,stop,-2.900000000001235,-3.7000000000012347,-4.100000000001235,-1.2758620689658882,-1.413793103448641
PRIMARY,GBPUSD,1628828100000,1628829000000,1628830800000,1,6.990781879833468,1.38093,1.38095,1.380705,1.3813799999999998,2.2499999999991966,time_stop,0.1999999999990898,-0.6000000000009102,-1.0000000000009102,-0.26666666666716643,-0.44444444444500764
PRIMARY,EURUSD,1628831700000,1628832600000,1628832600000,1,6.111097063453288,1.1740599999999999,1.1740149999999998,1.1740149999999998,1.1741499999999998,0.44999999999961743,stop,-0.4500000000007276,-1.2500000000007276,-1.6500000000007276,-2.7777777777817563,-3.6666666666714005
PRIMARY,GBPUSD,1628830800000,1628831700000,1628832600000,1,3.5178880811404674,1.38134,1.3816549999999999,1.3811825,1.3816549999999999,1.574999999999216,target,3.149999999998432,2.349999999998432,1.9499999999984319,1.4920634920632394,1.2380952380948589
