position_id,open_time,close_time,decision_time,direction,volume,entry,exit,planned_stop,planned_target,risk_points,initial_risk_account,net,realized_r
1526,2021.10.07 03:10:00,2021.10.07 04:13:27,2021.10.07 03:05:00,BUY,0.32,1.15573,1.15542,1.15543,1.15633,30.0,9.6,-11.2,-1.1666666666666667
1528,2021.10.08 05:15:00,2021.10.08 05:55:38,2021.10.08 05:10:00,SELL,0.51,1.15533,1.15553,1.15552,1.15495,19.0,9.69,-12.239999999999998,-1.263157894736842
1530,2021.10.11 01:05:00,2021.10.11 01:30:35,2021.10.11 01:00:00,BUY,0.17,1.1575,1.15695,1.15695,1.1586,55.0,9.35,-10.03,-1.0727272727272728
1532,2021.10.11 03:10:00,2021.10.11 03:22:30,2021.10.11 03:05:00,BUY,0.51,1.15719,1.15757,1.157,1.15757,19.0,9.69,17.34,1.7894736842105263
1534,2021.10.12 03:25:00,2021.10.12 03:54:36,2021.10.12 03:20:00,SELL,0.4,1.15488,1.15512,1.15512,1.1544,24.0,9.6,-11.2,-1.1666666666666667
1536,2021.10.13 03:05:00,2021.10.13 03:54:38,2021.10.13 03:00:00,BUY,0.23,1.15336,1.1542,1.15294,1.1542,42.0,9.66,18.4,1.9047619047619047
1538,2021.10.15 03:25:00,2021.10.15 03:29:37,2021.10.15 03:20:00,SELL,0.61,1.15889,1.15905,1.15905,1.15857,16.0,9.76,-12.2,-1.25
1540,2021.10.18 02:15:00,2021.10.18 02:57:54,2021.10.18 02:10:00,BUY,0.29,1.16005,1.15972,1.15972,1.16071,33.0,9.57,-10.73,-1.1212121212121213
1542,2021.10.18 06:05:00,2021.10.18 06:30:01,2021.10.18 06:00:00,SELL,0.35,1.15893,1.15837,1.15921,1.15837,28.0,9.8,18.200000000000003,1.8571428571428572
1544,2021.10.19 04:00:00,2021.10.19 04:54:36,2021.10.19 03:55:00,BUY,0.17,1.16252,1.16367,1.16195,1.16366,57.0,9.69,18.87,1.9473684210526319
1546,2021.10.20 03:05:00,2021.10.20 03:25:33,2021.10.20 03:00:00,BUY,0.28,1.16328,1.16294,1.16294,1.16396,34.0,9.52,-10.64,-1.1176470588235294
1548,2021.10.21 03:10:00,2021.10.21 04:39:26,2021.10.21 03:05:00,BUY,0.29,1.16546,1.16612,1.16513,1.16612,33.0,9.57,17.98,1.8787878787878787
1550,2021.10.22 03:25:00,2021.10.22 03:51:24,2021.10.22 03:20:00,BUY,0.57,1.1625,1.16233,1.16233,1.16284,17.0,9.69,-11.969999999999999,-1.2352941176470589
1552,2021.10.25 03:05:00,2021.10.25 05:05:00,2021.10.25 03:00:00,BUY,0.15,1.16447,1.16443,1.16384,1.16573,63.0,9.45,-1.2,-0.12698412698412698
1554,2021.10.26 03:10:00,2021.10.26 03:21:33,2021.10.26 03:05:00,SELL,0.35,1.16055,1.15997,1.16083,1.15999,28.0,9.8,18.900000000000002,1.9285714285714286
1556,2021.10.27 03:35:00,2021.10.27 03:55:00,2021.10.27 03:30:00,BUY,0.32,1.16024,1.15993,1.15994,1.16084,30.0,9.6,-11.2,-1.1666666666666667
