case_id,position_id,ts_recv_utc,seconds_from_break_open,seconds_before_entry,raw_i5,aligned_i5,spread_ticks
F009_PID000001598,1598,2021-11-25T00:02:52.073688064+00:00,172.073688064,127.926311936,0.0,0.0,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:52.077338624+00:00,172.077338624,127.922661376,0.0016366612111292963,0.0016366612111292963,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:52.082133504+00:00,172.082133504,127.917866496,0.003278688524590164,0.003278688524590164,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:52.090609664+00:00,172.090609664,127.909390336,0.0016366612111292963,0.0016366612111292963,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:52.111563008+00:00,172.111563008,127.888436992,-0.011608623548922056,-0.011608623548922056,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:52.111671296+00:00,172.111671296,127.888328704,-0.013289036544850499,-0.013289036544850499,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:52.209218560+00:00,172.20921856,127.79078144,-0.011608623548922056,-0.011608623548922056,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:52.323286528+00:00,172.323286528,127.676713472,-0.018121911037891267,-0.018121911037891267,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:52.323948544+00:00,172.323948544,127.676051456,-0.019801980198019802,-0.019801980198019802,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:52.328290304+00:00,172.328290304,127.671709696,-0.014778325123152709,-0.014778325123152709,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:52.328313088+00:00,172.328313088,127.671686912,-0.008156606851549755,-0.008156606851549755,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:52.328326400+00:00,172.3283264,127.6716736,0.004830917874396135,0.004830917874396135,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:52.328560384+00:00,172.328560384,127.671439616,0.0064516129032258064,0.0064516129032258064,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:52.383695360+00:00,172.38369536,127.61630464,0.008051529790660225,0.008051529790660225,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:52.383713792+00:00,172.383713792,127.616286208,0.014586709886547812,0.014586709886547812,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:52.383825664+00:00,172.383825664,127.616174336,0.016233766233766232,0.016233766233766232,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:52.542548224+00:00,172.542548224,127.457451776,0.014634146341463415,0.014634146341463415,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:52.713312256+00:00,172.713312256,127.286687744,0.014634146341463415,0.014634146341463415,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:53.549849344+00:00,173.549849344,126.450150656,0.024154589371980676,0.024154589371980676,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:53.549988864+00:00,173.549988864,126.450011136,0.02572347266881029,0.02572347266881029,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:53.667520+00:00,173.66752,126.33248,0.027287319422150885,0.027287319422150885,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:54.040575488+00:00,174.040575488,125.959424512,0.028846153846153848,0.028846153846153848,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:54.040594688+00:00,174.040594688,125.959405312,0.03349282296650718,0.03349282296650718,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:54.040853504+00:00,174.040853504,125.959146496,0.03503184713375796,0.03503184713375796,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:54.040871168+00:00,174.040871168,125.959128832,0.03656597774244833,0.03656597774244833,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:54.040946688+00:00,174.040946688,125.959053312,0.04487179487179487,0.04487179487179487,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:54.040994816+00:00,174.040994816,125.959005184,0.04654895666131621,0.04654895666131621,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:54.041110784+00:00,174.041110784,125.958889216,0.04823151125401929,0.04823151125401929,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:54.041256192+00:00,174.041256192,125.958743808,0.0499194847020934,0.0499194847020934,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:54.041506816+00:00,174.041506816,125.958493184,0.05161290322580645,0.05161290322580645,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:54.041524992+00:00,174.041524992,125.958475008,0.05331179321486268,0.05331179321486268,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:54.041728512+00:00,174.041728512,125.958271488,0.054838709677419356,0.054838709677419356,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:54.041842432+00:00,174.041842432,125.958157568,0.05654281098546042,0.05654281098546042,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:54.041871872+00:00,174.041871872,125.958128128,0.06168831168831169,0.06168831168831169,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:54.041871872+00:00,174.041871872,125.958128128,0.06514657980456026,0.06514657980456026,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:54.041921792+00:00,174.041921792,125.958078208,0.06688417618270799,0.06688417618270799,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:54.042105088+00:00,174.042105088,125.957894912,0.06991869918699187,0.06991869918699187,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:54.042105088+00:00,174.042105088,125.957894912,0.07166123778501629,0.07166123778501629,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:54.042147328+00:00,174.042147328,125.957852672,0.07467532467532467,0.07467532467532467,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:54.042237952+00:00,174.042237952,125.957762048,0.0799347471451876,0.0799347471451876,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:54.042298880+00:00,174.04229888,125.95770112,0.08441558441558442,0.08441558441558442,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:54.113804544+00:00,174.113804544,125.886195456,0.09032258064516129,0.09032258064516129,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:54.178283520+00:00,174.17828352,125.82171648,0.10457516339869281,0.10457516339869281,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:54.278818816+00:00,174.278818816,125.721181184,0.10457516339869281,0.10457516339869281,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:54.667509504+00:00,174.667509504,125.332490496,0.10603588907014681,0.10603588907014681,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:57.968706304+00:00,177.968706304,122.031293696,0.10423452768729642,0.10423452768729642,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:58.093335552+00:00,178.093335552,121.906664448,0.09003215434083602,0.09003215434083602,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:58.103302144+00:00,178.103302144,121.896697856,0.08414239482200647,0.08414239482200647,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:58.200550912+00:00,178.200550912,121.799449088,0.08265802269043761,0.08265802269043761,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:02:58.800545536+00:00,178.800545536,121.199454464,0.08116883116883117,0.08116883116883117,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:00.008942336+00:00,180.008942336,119.991057664,0.07967479674796749,0.07967479674796749,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:00.009240832+00:00,180.009240832,119.990759168,0.0781758957654723,0.0781758957654723,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:00.574798080+00:00,180.57479808,119.42520192,0.07642276422764227,0.07642276422764227,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:00.574924288+00:00,180.574924288,119.425075712,0.07467532467532467,0.07467532467532467,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:00.575018240+00:00,180.57501824,119.42498176,0.07317073170731707,0.07317073170731707,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:00.575170816+00:00,180.575170816,119.424829184,0.07166123778501629,0.07166123778501629,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:06.091585536+00:00,186.091585536,113.908414464,0.0734094616639478,0.0734094616639478,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:06.342820352+00:00,186.342820352,113.657179648,0.0734094616639478,0.0734094616639478,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:10.848701952+00:00,190.848701952,109.151298048,0.0749185667752443,0.0749185667752443,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:10.848722688+00:00,190.848722688,109.151277312,0.0766721044045677,0.0766721044045677,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.641704448+00:00,191.641704448,108.358295552,0.0784313725490196,0.0784313725490196,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.711955200+00:00,191.7119552,108.2880448,0.07692307692307693,0.07692307692307693,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.712042496+00:00,191.712042496,108.287957504,0.07516339869281045,0.07516339869281045,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.713064192+00:00,191.713064192,108.286935808,0.066006600660066,0.066006600660066,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.713202688+00:00,191.713202688,108.286797312,0.0642504118616145,0.0642504118616145,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.713231360+00:00,191.71323136,108.28676864,0.053833605220228384,0.053833605220228384,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.713260544+00:00,191.713260544,108.286739456,0.05211726384364821,0.05211726384364821,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.713332224+00:00,191.713332224,108.286667776,0.05040650406504065,0.05040650406504065,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.713558016+00:00,191.713558016,108.286441984,0.048701298701298704,0.048701298701298704,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.713558016+00:00,191.713558016,108.286441984,0.04560260586319218,0.04560260586319218,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.713595648+00:00,191.713595648,108.286404352,0.04730831973898858,0.04730831973898858,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.713604096+00:00,191.713604096,108.286395904,0.04560260586319218,0.04560260586319218,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.713622272+00:00,191.713622272,108.286377728,0.04404567699836868,0.04404567699836868,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.713665536+00:00,191.713665536,108.286334464,0.03934426229508197,0.03934426229508197,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.713681664+00:00,191.713681664,108.286318336,0.03776683087027915,0.03776683087027915,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.713785344+00:00,191.713785344,108.286214656,0.03618421052631579,0.03618421052631579,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.713809152+00:00,191.713809152,108.286190848,0.03459637561779242,0.03459637561779242,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.713908480+00:00,191.71390848,108.28609152,0.033003300330033,0.033003300330033,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.713916928+00:00,191.713916928,108.286083072,0.03140495867768595,0.03140495867768595,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.782262784+00:00,191.782262784,108.217737216,0.041736227045075125,0.041736227045075125,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.782426368+00:00,191.782426368,108.217573632,0.043333333333333335,0.043333333333333335,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.782444032+00:00,191.782444032,108.217555968,0.045075125208681135,0.045075125208681135,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.787686144+00:00,191.787686144,108.212313856,0.03642384105960265,0.03642384105960265,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.787794944+00:00,191.787794944,108.212205056,0.03482587064676617,0.03482587064676617,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.787813376+00:00,191.787813376,108.212186624,0.033112582781456956,0.033112582781456956,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.804450816+00:00,191.804450816,108.195549184,0.03482587064676617,0.03482587064676617,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.819378176+00:00,191.819378176,108.180621824,0.04118616144975288,0.04118616144975288,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.840658944+00:00,191.840658944,108.159341056,0.04276315789473684,0.04276315789473684,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.840797440+00:00,191.84079744,108.15920256,0.04433497536945813,0.04433497536945813,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.862854400+00:00,191.8628544,108.1371456,0.03801652892561983,0.03801652892561983,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.864153344+00:00,191.864153344,108.135846656,0.03642384105960265,0.03642384105960265,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.864289792+00:00,191.864289792,108.135710208,0.03482587064676617,0.03482587064676617,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.864397568+00:00,191.864397568,108.135602432,0.033112582781456956,0.033112582781456956,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.954360064+00:00,191.954360064,108.045639936,0.03482587064676617,0.03482587064676617,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.998283264+00:00,191.998283264,108.001716736,0.028380634390651086,0.028380634390651086,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.998303744+00:00,191.998303744,108.001696256,0.015228426395939087,0.015228426395939087,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.998592+00:00,191.998592,108.001408,0.01020408163265306,0.01020408163265306,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.998615808+00:00,191.998615808,108.001384192,0.011884550084889643,0.011884550084889643,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.998623744+00:00,191.998623744,108.001376256,0.010169491525423728,0.010169491525423728,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:11.998697984+00:00,191.998697984,108.001302016,0.003367003367003367,0.003367003367003367,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:12.027107840+00:00,192.02710784,107.97289216,0.0016863406408094434,0.0016863406408094434,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:12.079013376+00:00,192.079013376,107.920986624,-0.005025125628140704,-0.005025125628140704,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:12.079127552+00:00,192.079127552,107.920872448,-0.006711409395973154,-0.006711409395973154,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:12.079444480+00:00,192.07944448,107.92055552,-0.016611295681063124,-0.016611295681063124,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:12.198717184+00:00,192.198717184,107.801282816,-0.014925373134328358,-0.014925373134328358,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:12.198823680+00:00,192.19882368,107.80117632,-0.013245033112582781,-0.013245033112582781,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:12.198841856+00:00,192.198841856,107.801158144,-0.0033444816053511705,-0.0033444816053511705,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:12.276408576+00:00,192.276408576,107.723591424,0.003367003367003367,0.003367003367003367,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:12.388728832+00:00,192.388728832,107.611271168,0.0016863406408094434,0.0016863406408094434,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:12.388836096+00:00,192.388836096,107.611163904,0.0,0.0,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:12.667518464+00:00,192.667518464,107.332481536,-0.0016863406408094434,-0.0016863406408094434,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:12.822158848+00:00,192.822158848,107.177841152,0.0,0.0,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:12.822270464+00:00,192.822270464,107.177729536,0.0016806722689075631,0.0016806722689075631,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:13.331302912+00:00,193.331302912,106.668697088,0.0,0.0,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:13.667516416+00:00,193.667516416,106.332483584,-0.0016806722689075631,-0.0016806722689075631,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:14.113995520+00:00,194.11399552,105.88600448,-0.011647254575707155,-0.011647254575707155,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:14.114216192+00:00,194.114216192,105.885783808,-0.01818181818181818,-0.01818181818181818,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:14.114324224+00:00,194.114324224,105.885675776,-0.019867549668874173,-0.019867549668874173,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:14.124597248+00:00,194.124597248,105.875402752,-0.01818181818181818,-0.01818181818181818,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:14.476132352+00:00,194.476132352,105.523867648,-0.008347245409015025,-0.008347245409015025,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:14.900536832+00:00,194.900536832,105.099463168,-0.010033444816053512,-0.010033444816053512,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:17.737501184+00:00,197.737501184,102.262498816,-0.008347245409015025,-0.008347245409015025,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:17.738185984+00:00,197.738185984,102.261814016,-0.010033444816053512,-0.010033444816053512,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:17.939192832+00:00,197.939192832,102.060807168,-0.008347245409015025,-0.008347245409015025,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:17.939305984+00:00,197.939305984,102.060694016,-0.006666666666666667,-0.006666666666666667,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:17.939331328+00:00,197.939331328,102.060668672,0.0,0.0,1.0000000000021103
F009_PID000001598,1598,2021-11-25T00:03:17.950607616+00:00,197.950607616,102.049392384,0.013245033112582781,0.013245033112582781,1.0000000000021103
