event_time,utc_time,tag,action,order_type,volume,price,sl,tp,reason,retcode,deal,order,symbol,position_id,entry_price,initial_sl,initial_tp,risk_pts,initial_risk_account,close_source,deal_reason,achievedr,net_profit,swap,commission,fee,deal_profit,deal_commission,deal_swap,deal_fee,deal_net,is_final_close,engine_name,hypothesis_id
2016.02.10 10:16:37,2016.02.10 08:16:37,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,CLOSE_PARTIAL,BUY,1.09000000,1.12978,1.12775,1.13111,DEAL_REASON_EXPERT,0,47,47,EURUSD,46,1.12886,1.12775,1.13111,111.0000,241.98000000,DEAL_REASON_EXPERT,DEAL_REASON_EXPERT,0.37837838,91.56000000,0.00000000,0.00000000,0.00000000,100.28000000,0.00000000,0.00000000,0.00000000,100.28000000,0,SWEEP,HYP-LASR-EURUSD-M5-003
2016.02.10 10:25:23,2016.02.10 08:25:23,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,CLOSE,BUY,1.09000000,1.12886,1.12775,1.13111,DEAL_REASON_SL,0,48,48,EURUSD,46,1.12886,1.12775,1.13111,111.0000,241.98000000,DEAL_REASON_SL,DEAL_REASON_SL,0.37837838,91.56000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1,SWEEP,HYP-LASR-EURUSD-M5-003
2016.02.11 10:25:00,2016.02.11 08:25:00,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,OPEN,SELL,2.72000000,1.13175,1.13264,1.12736,DEAL_REASON_EXPERT,0,49,49,EURUSD,49,1.13175,1.13264,1.12736,89.0000,242.08000000,DEAL_REASON_EXPERT,DEAL_REASON_EXPERT,-0.04494382,-10.88000000,0.00000000,-10.88000000,0.00000000,0.00000000,-10.88000000,0.00000000,0.00000000,-10.88000000,0,SWEEP,HYP-LASR-EURUSD-M5-003
2016.02.11 10:35:31,2016.02.11 08:35:31,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,CLOSE,SELL,2.72000000,1.13267,1.13264,1.12736,DEAL_REASON_SL,0,50,50,EURUSD,49,1.13175,1.13264,1.12736,89.0000,242.08000000,DEAL_REASON_SL,DEAL_REASON_SL,-1.07865169,-261.12000000,0.00000000,0.00000000,0.00000000,-250.24000000,0.00000000,0.00000000,0.00000000,-250.24000000,1,SWEEP,HYP-LASR-EURUSD-M5-003
2016.02.17 09:10:00,2016.02.17 07:10:00,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,OPEN,SELL,3.52000000,1.11700,1.11763,1.11183,DEAL_REASON_EXPERT,0,51,51,EURUSD,51,1.11700,1.11763,1.11183,63.0000,221.76000000,DEAL_REASON_EXPERT,DEAL_REASON_EXPERT,-0.06349206,-14.08000000,0.00000000,-14.08000000,0.00000000,0.00000000,-14.08000000,0.00000000,0.00000000,-14.08000000,0,SWEEP,HYP-LASR-EURUSD-M5-003
2016.02.17 09:19:17,2016.02.17 07:19:17,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,CLOSE,SELL,3.52000000,1.11765,1.11763,1.11183,DEAL_REASON_SL,0,52,52,EURUSD,51,1.11700,1.11763,1.11183,63.0000,221.76000000,DEAL_REASON_SL,DEAL_REASON_SL,-1.09523810,-242.88000000,0.00000000,0.00000000,0.00000000,-228.80000000,0.00000000,0.00000000,0.00000000,-228.80000000,1,SWEEP,HYP-LASR-EURUSD-M5-003
2016.02.18 09:05:00,2016.02.18 07:05:00,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,OPEN,SELL,3.08000000,1.11412,1.11490,1.11192,DEAL_REASON_EXPERT,0,53,53,EURUSD,53,1.11412,1.11490,1.11192,78.0000,240.24000000,DEAL_REASON_EXPERT,DEAL_REASON_EXPERT,-0.05128205,-12.32000000,0.00000000,-12.32000000,0.00000000,0.00000000,-12.32000000,0.00000000,0.00000000,-12.32000000,0,SWEEP,HYP-LASR-EURUSD-M5-003
2016.02.18 09:53:38,2016.02.18 07:53:38,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,CLOSE_PARTIAL,SELL,1.54000000,1.11321,1.11490,1.11192,DEAL_REASON_EXPERT,0,54,54,EURUSD,53,1.11412,1.11490,1.11192,78.0000,240.24000000,DEAL_REASON_EXPERT,DEAL_REASON_EXPERT,0.53205128,127.82000000,0.00000000,0.00000000,0.00000000,140.14000000,0.00000000,0.00000000,0.00000000,140.14000000,0,SWEEP,HYP-LASR-EURUSD-M5-003
2016.02.18 10:11:40,2016.02.18 08:11:40,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,CLOSE,SELL,1.54000000,1.11412,1.11490,1.11192,DEAL_REASON_SL,0,55,55,EURUSD,53,1.11412,1.11490,1.11192,78.0000,240.24000000,DEAL_REASON_SL,DEAL_REASON_SL,0.53205128,127.82000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1,SWEEP,HYP-LASR-EURUSD-M5-003
2016.02.25 15:35:00,2016.02.25 13:35:00,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,OPEN,BUY,3.48000000,1.10101,1.10036,1.10342,DEAL_REASON_EXPERT,0,56,56,EURUSD,56,1.10101,1.10036,1.10342,65.0000,226.20000000,DEAL_REASON_EXPERT,DEAL_REASON_EXPERT,-0.06153846,-13.92000000,0.00000000,-13.92000000,0.00000000,0.00000000,-13.92000000,0.00000000,0.00000000,-13.92000000,0,SWEEP,HYP-LASR-EURUSD-M5-003
2016.02.25 15:41:39,2016.02.25 13:41:39,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,CLOSE_PARTIAL,BUY,1.74000000,1.10205,1.10036,1.10342,DEAL_REASON_EXPERT,0,57,57,EURUSD,56,1.10101,1.10036,1.10342,65.0000,226.20000000,DEAL_REASON_EXPERT,DEAL_REASON_EXPERT,0.73846154,167.04000000,0.00000000,0.00000000,0.00000000,180.96000000,0.00000000,0.00000000,0.00000000,180.96000000,0,SWEEP,HYP-LASR-EURUSD-M5-003
2016.02.25 15:57:38,2016.02.25 13:57:38,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,CLOSE,BUY,1.74000000,1.10101,1.10036,1.10342,DEAL_REASON_SL,0,58,58,EURUSD,56,1.10101,1.10036,1.10342,65.0000,226.20000000,DEAL_REASON_SL,DEAL_REASON_SL,0.73846154,167.04000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1,SWEEP,HYP-LASR-EURUSD-M5-003
2016.02.26 13:55:00,2016.02.26 11:55:00,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,OPEN,BUY,3.50000000,1.10243,1.10174,1.10679,DEAL_REASON_EXPERT,0,59,59,EURUSD,59,1.10243,1.10174,1.10679,69.0000,241.50000000,DEAL_REASON_EXPERT,DEAL_REASON_EXPERT,-0.05797101,-14.00000000,0.00000000,-14.00000000,0.00000000,0.00000000,-14.00000000,0.00000000,0.00000000,-14.00000000,0,SWEEP,HYP-LASR-EURUSD-M5-003
2016.02.26 15:00:15,2016.02.26 13:00:15,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,CLOSE,BUY,3.50000000,1.10174,1.10174,1.10679,DEAL_REASON_SL,0,60,60,EURUSD,59,1.10243,1.10174,1.10679,69.0000,241.50000000,DEAL_REASON_SL,DEAL_REASON_SL,-1.05797101,-255.50000000,0.00000000,0.00000000,0.00000000,-241.50000000,0.00000000,0.00000000,0.00000000,-241.50000000,1,SWEEP,HYP-LASR-EURUSD-M5-003
2016.03.01 16:05:00,2016.03.01 14:05:00,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,OPEN,BUY,3.44000000,1.08760,1.08709,1.08891,DEAL_REASON_EXPERT,0,61,61,EURUSD,61,1.08760,1.08709,1.08891,51.0000,175.44000000,DEAL_REASON_EXPERT,DEAL_REASON_EXPERT,-0.07843137,-13.76000000,0.00000000,-13.76000000,0.00000000,0.00000000,-13.76000000,0.00000000,0.00000000,-13.76000000,0,SWEEP,HYP-LASR-EURUSD-M5-003
2016.03.01 16:08:38,2016.03.01 14:08:38,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,CLOSE,BUY,3.44000000,1.08707,1.08709,1.08891,DEAL_REASON_SL,0,62,62,EURUSD,61,1.08760,1.08709,1.08891,51.0000,175.44000000,DEAL_REASON_SL,DEAL_REASON_SL,-1.11764706,-196.08000000,0.00000000,0.00000000,0.00000000,-182.32000000,0.00000000,0.00000000,0.00000000,-182.32000000,1,SWEEP,HYP-LASR-EURUSD-M5-003
2016.03.03 11:05:00,2016.03.03 09:05:00,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,OPEN,SELL,2.82000000,1.08699,1.08784,1.08533,DEAL_REASON_EXPERT,0,63,63,EURUSD,63,1.08699,1.08784,1.08533,85.0000,239.70000000,DEAL_REASON_EXPERT,DEAL_REASON_EXPERT,-0.04705882,-11.28000000,0.00000000,-11.28000000,0.00000000,0.00000000,-11.28000000,0.00000000,0.00000000,-11.28000000,0,SWEEP,HYP-LASR-EURUSD-M5-003
2016.03.03 11:48:17,2016.03.03 09:48:17,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,CLOSE_PARTIAL,SELL,1.41000000,1.08638,1.08784,1.08533,DEAL_REASON_EXPERT,0,64,64,EURUSD,63,1.08699,1.08784,1.08533,85.0000,239.70000000,DEAL_REASON_EXPERT,DEAL_REASON_EXPERT,0.31176471,74.73000000,0.00000000,0.00000000,0.00000000,86.01000000,0.00000000,0.00000000,0.00000000,86.01000000,0,SWEEP,HYP-LASR-EURUSD-M5-003
2016.03.03 12:01:42,2016.03.03 10:01:42,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,CLOSE,SELL,1.41000000,1.08703,1.08784,1.08533,DEAL_REASON_SL,0,65,65,EURUSD,63,1.08699,1.08784,1.08533,85.0000,239.70000000,DEAL_REASON_SL,DEAL_REASON_SL,0.28823529,69.09000000,0.00000000,0.00000000,0.00000000,-5.64000000,0.00000000,0.00000000,0.00000000,-5.64000000,1,SWEEP,HYP-LASR-EURUSD-M5-003
2016.03.08 14:10:00,2016.03.08 12:10:00,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,OPEN,BUY,3.28000000,1.10129,1.10072,1.10283,DEAL_REASON_EXPERT,0,66,66,EURUSD,66,1.10129,1.10072,1.10283,57.0000,186.96000000,DEAL_REASON_EXPERT,DEAL_REASON_EXPERT,-0.07017544,-13.12000000,0.00000000,-13.12000000,0.00000000,0.00000000,-13.12000000,0.00000000,0.00000000,-13.12000000,0,SWEEP,HYP-LASR-EURUSD-M5-003
2016.03.08 14:28:05,2016.03.08 12:28:05,LASR_EUR_SWEEP_ACCOUNTSAFE_MODEL0,CLOSE_PARTIAL,BUY,1.64000000,1.10198,1.10072,1.10283,DEAL_REASON_EXPERT,0,67,67,EURUSD,66,1.10129,1.10072,1.10283,57.0000,186.96000000,DEAL_REASON_EXPERT,DEAL_REASON_EXPERT,0.53508772,100.04000000,0.00000000,0.00000000,0.00000000,113.16000000,0.00000000,0.00000000,0.00000000,113.16000000,0,SWEEP,HYP-LASR-EURUSD-M5-003
