sample_id,reference_timestamp,future_timestamp,symbol,side,reference_side,reference_price,future_quote_price,pip_size,latency_ms,actual_delay_ms
Q000082-BUY,2026-07-14T19:53:21.636,2026-07-14T19:53:23.119,USDJPY,BUY,ask,162.12500000,162.12600000,0.01000000,1000,1483
Q000082-SELL,2026-07-14T19:53:21.636,2026-07-14T19:53:23.119,USDJPY,SELL,bid,162.12300000,162.12400000,0.01000000,1000,1483
Q000083-BUY,2026-07-14T19:53:23.119,2026-07-14T19:53:24.294,USDJPY,BUY,ask,162.12600000,162.12600000,0.01000000,1000,1175
Q000083-SELL,2026-07-14T19:53:23.119,2026-07-14T19:53:24.294,USDJPY,SELL,bid,162.12400000,162.12400000,0.01000000,1000,1175
Q000084-BUY,2026-07-14T19:53:50.585,2026-07-14T19:53:51.588,USDJPY,BUY,ask,162.13200000,162.13200000,0.01000000,1000,1003
Q000084-SELL,2026-07-14T19:53:50.585,2026-07-14T19:53:51.588,USDJPY,SELL,bid,162.12900000,162.13000000,0.01000000,1000,1003
Q000085-BUY,2026-07-14T19:54:23.811,2026-07-14T19:54:24.968,USDJPY,BUY,ask,162.12400000,162.12700000,0.01000000,1000,1157
Q000085-SELL,2026-07-14T19:54:23.811,2026-07-14T19:54:24.968,USDJPY,SELL,bid,162.12200000,162.12400000,0.01000000,1000,1157
Q000086-BUY,2026-07-14T19:55:01.160,2026-07-14T19:55:02.634,USDJPY,BUY,ask,162.12200000,162.11900000,0.01000000,1000,1474
Q000086-SELL,2026-07-14T19:55:01.160,2026-07-14T19:55:02.634,USDJPY,SELL,bid,162.12000000,162.11700000,0.01000000,1000,1474
Q000087-BUY,2026-07-14T19:55:19.292,2026-07-14T19:55:20.605,USDJPY,BUY,ask,162.12300000,162.12200000,0.01000000,1000,1313
Q000087-SELL,2026-07-14T19:55:19.292,2026-07-14T19:55:20.605,USDJPY,SELL,bid,162.12100000,162.12000000,0.01000000,1000,1313
Q000088-BUY,2026-07-14T19:55:25.936,2026-07-14T19:55:27.100,USDJPY,BUY,ask,162.12100000,162.12200000,0.01000000,1000,1164
Q000088-SELL,2026-07-14T19:55:25.936,2026-07-14T19:55:27.100,USDJPY,SELL,bid,162.11900000,162.12000000,0.01000000,1000,1164
Q000089-BUY,2026-07-14T19:55:33.824,2026-07-14T19:55:35.064,USDJPY,BUY,ask,162.12200000,162.12100000,0.01000000,1000,1240
