case_id,sample_rank,position_id,entry_time_utc,decision_time_utc,direction,direction_label,entry,sl,tp,exit_time_utc,exit,reason,label,net_account,net_R,volume,risk_points,initial_risk_account,hold_minutes,entry_year
R100_054_PID000000454,54,454,2022-04-27T03:35:00,2022-04-27T03:30:00,-1,SELL,1.06395,1.06415,1.06355,2022-04-27T03:43:30,1.06355,TP_LIKE,WIN_NET_POSITIVE,17.64000000,1.8000000000,0.49,20.0,9.8,8.5000,2022
R100_055_PID000000076,55,76,2019-08-23T03:45:00,2019-08-23T03:40:00,-1,SELL,1.10801,1.10821,1.10761,2019-08-23T03:55:02,1.10822,SL_LIKE,LOSS_NET_NONPOSITIVE,-12.25000000,-1.2500000000,0.49,20.0,9.8,10.0333,2019
R100_056_PID000000128,56,128,2020-01-17T03:00:00,2020-01-17T02:55:00,1,BUY,1.11377,1.11357,1.11417,2020-01-17T03:23:59,1.11354,SL_LIKE,LOSS_NET_NONPOSITIVE,-13.23000000,-1.3500000000,0.49,20.0,9.8,23.9833,2020
R100_057_PID000000408,57,408,2021-12-15T02:20:00,2021-12-15T02:15:00,1,BUY,1.12596,1.1257,1.12648,2021-12-15T02:48:16,1.12648,TP_LIKE,WIN_NET_POSITIVE,18.24000000,1.8461538462,0.38,26.0,9.88,28.2667,2021
R100_058_PID000000370,58,370,2021-08-13T03:30:00,2021-08-13T03:25:00,-1,SELL,1.17345,1.17361,1.17313,2021-08-13T03:59:06,1.17362,SL_LIKE,LOSS_NET_NONPOSITIVE,-13.02000000,-1.3125000000,0.62,16.0,9.92,29.1000,2021
R100_059_PID000000428,59,428,2022-02-21T01:40:00,2022-02-21T01:35:00,-1,SELL,1.13157,1.13209,1.13053,2022-02-21T02:51:25,1.13209,SL_LIKE,LOSS_NET_NONPOSITIVE,-10.64000000,-1.0769230769,0.19,52.0,9.88,71.4167,2022
R100_060_PID000000090,60,90,2019-09-11T03:30:00,2019-09-11T03:25:00,1,BUY,1.10553,1.10489,1.10681,2019-09-11T03:37:07,1.10489,SL_LIKE,LOSS_NET_NONPOSITIVE,-10.20000000,-1.0625000000,0.15,64.0,9.6,7.1167,2019
R100_061_PID000000316,61,316,2021-03-24T04:00:00,2021-03-24T03:55:00,1,BUY,1.18482,1.18439,1.18568,2021-03-24T04:23:26,1.18438,SL_LIKE,LOSS_NET_NONPOSITIVE,-11.04000000,-1.1162790698,0.23,43.0,9.89,23.4333,2021
R100_062_PID000000422,62,422,2022-02-03T02:50:00,2022-02-03T02:45:00,-1,SELL,1.12969,1.12988,1.12931,2022-02-03T03:06:22,1.12988,SL_LIKE,LOSS_NET_NONPOSITIVE,-11.96000000,-1.2105263158,0.52,19.0,9.88,16.3667,2022
R100_063_PID000000446,63,446,2022-04-19T03:55:00,2022-04-19T03:50:00,-1,SELL,1.07748,1.07818,1.07608,2022-04-19T04:01:35,1.07818,SL_LIKE,LOSS_NET_NONPOSITIVE,-10.36000000,-1.0571428571,0.14,70.0,9.8,6.5833,2022
R100_064_PID000000022,64,22,2019-04-16T04:35:00,2019-04-16T04:30:00,-1,SELL,1.12992,1.13047,1.12882,2019-04-16T06:35:00,1.13033,TIMEOUT_OR_OTHER,LOSS_NET_NONPOSITIVE,-8.10000000,-0.8181818182,0.18,55.0,9.9,120.0000,2019
