position_id,engine_name,outcome,net_r,conservative_mfe_r,conservative_mae_r,reached_0_25r,reached_0_50r,reached_1_00r
306,BREAKOUT_LONG,LOSS,-1.11864407,0.9152542372883142,1.0508474576270868,True,True,False
308,TREND_LONG,LOSS,-1.03960396,0.019801980197930558,1.0,False,False,False
310,RANGE_SHORT,WIN,1.45652174,1.5434782608694866,0.4999999999998793,True,True,True
312,TREND_LONG,LOSS,-1.06666667,0.0,1.0,False,False,False
314,TREND_LONG,WIN,0.47263682,0.7412935323382793,0.4577114427860702,True,True,False
316,TREND_SHORT,LOSS,-0.31967213,0.4590163934425364,0.9016393442623786,True,False,False
318,TREND_LONG,LOSS,-1.04651163,0.6976744186049454,1.0,True,True,False
320,BREAKOUT_SHORT,WIN,1.45833333,1.5138888888888247,0.1388888888888632,True,True,True
322,TREND_LONG,LOSS,-1.03149606,0.8031496062993034,1.0,True,True,False
324,TREND_SHORT,LOSS,-1.03149606,0.3622047244093442,1.0,True,False,False
326,TREND_SHORT,LOSS,-1.05319149,0.08510638297855755,1.010638297872172,False,False,False
328,TREND_SHORT,LOSS,-1.03773585,0.03773584905664725,1.0,False,False,False
330,RANGE_SHORT,WIN,1.44736842,1.4999999999997078,0.644736842105317,True,True,True
332,TREND_LONG,LOSS,-1.03669725,0.0,1.0,False,False,False
334,TREND_LONG,LOSS,-1.04651163,1.255813953488216,1.0,True,True,True
336,RANGE_SHORT,LOSS,-1.08928571,1.4821428571423474,1.017857142857256,True,True,True
338,TREND_SHORT,LOSS,-0.54237288,0.37288135593221294,0.542372881355929,True,False,False
340,TREND_SHORT,LOSS,-0.22941176,0.38235294117648594,0.6,True,False,False
342,BREAKOUT_LONG,LOSS,-1.0877193,0.0,1.017543859649239,False,False,False
344,TREND_LONG,LOSS,-1.04651163,0.0,1.0,False,False,False
346,TREND_LONG,LOSS,-1.01509434,0.8905660377359625,1.0,True,True,False
348,TREND_SHORT,LOSS,-1.07462687,0.32835820895541185,1.0149253731344272,True,False,False
350,TREND_LONG,WIN,1.48,1.5120000000001677,0.5760000000000555,True,True,True
352,TREND_SHORT,WIN,1.47619048,1.523809523809549,0.25000000000006606,True,True,True
354,TREND_LONG,WIN,1.46078431,1.4999999999997824,0.9705882352941433,True,True,True
356,BREAKOUT_LONG,LOSS,-1.13157895,0.026315789473868735,1.0263157894738688,False,False,False
358,RANGE_LONG,LOSS,-1.1,0.0,1.0,False,False,False
360,TREND_SHORT,WIN,1.47008547,1.5042735042736275,0.2051282051282392,True,True,True
362,TREND_LONG,LOSS,-1.04938272,0.4444444444446272,1.0,True,False,False
364,BREAKOUT_SHORT,WIN,1.41860465,1.5116279069770804,0.09302325581406157,True,True,True
366,TREND_SHORT,WIN,1.421875,1.499999999999306,0.45312500000005423,True,True,True
368,TREND_SHORT,WIN,1.44444444,1.507936507936206,0.8571428571426557,True,True,True
370,TREND_SHORT,WIN,1.42857143,1.4920634920630893,0.15873015873010837,True,True,True
372,TREND_SHORT,WIN,0.55244755,0.7342657342657093,0.2377622377622356,True,True,False
374,BREAKOUT_LONG,WIN,1.4,1.5142857142851704,0.25714285714321966,True,True,True
376,RANGE_SHORT,WIN,1.37931034,1.5172413793096848,0.6206896551723874,True,True,True
378,TREND_SHORT,LOSS,-1.07692308,0.5076923076921868,1.0153846153847153,True,True,False
